description,lignes_passantes,lignes_et_directions,station,commune
Mosson,1,1 Odysseum; 1 Mosson,Station de tramway,Montpellier
Halles de la Paillade,1,1 Odysseum,Station de tramway,Montpellier
Saint-Paul,1,1 Odysseum,Station de tramway,Montpellier
Hauts de Massane,1,1 Odysseum,Station de tramway,Montpellier
Euromédecine,1,1 Odysseum,Station de tramway,Montpellier
Malbosc,1,1 Odysseum,Station de tramway,Montpellier
Château d'Ô,1,1 Odysseum,Station de tramway,Montpellier
Occitanie,1,1 Odysseum,Station de tramway,Montpellier
Saint-Éloi,1,1 Odysseum,Station de tramway,Montpellier
Corum,1; 4,1 Odysseum; 4 Garcia Lorca sens A,Station de tramway,Montpellier
Millénaire,1,1 Odysseum,Station de tramway,Montpellier
Charles de Gaulle,2,2 Saint-Jean de Védas Centre,Station de tramway,Castelnau-le-Lez
Clairval,2,2 Saint-Jean de Védas Centre,Station de tramway,Castelnau-le-Lez
La Galine,2,2 Saint-Jean de Védas Centre,Station de tramway,Castelnau-le-Lez
Centurions,2,2 Saint-Jean de Védas Centre,Station de tramway,Castelnau-le-Lez
Notre-Dame de Sablassou,2,2 Jacou,Station de tramway,Castelnau-le-Lez
Juvignac,3,3 Juvignac; 3 Lattes Centre / Pérols Étang de l'Or,Station de tramway,Juvignac
Celleneuve,3,3 Lattes Centre / Pérols Étang de l'Or,Station de tramway,Montpellier
Pergola,3,3 Juvignac,Station de tramway,Montpellier
Tonnelles,3,3 Juvignac,Station de tramway,Montpellier
Tonnelles,3,3 Lattes Centre / Pérols Étang de l'Or,Station de tramway,Montpellier
Saint-Denis,3,3 Lattes Centre / Pérols Étang de l'Or,Station de tramway,Montpellier
Observatoire,3; 4,3 Juvignac; 4 Garcia Lorca sens A,Station de tramway,Montpellier
Observatoire,3; 4,3 Lattes Centre / Pérols Étang de l'Or; 4 Garcia Lorca sens B,Station de tramway,Montpellier
Gare Saint-Roch - République,3; 4,3 Juvignac; 4 Garcia Lorca sens A,Station de tramway,Montpellier
Gare Saint-Roch - République,3; 4,3 Lattes Centre / Pérols Étang de l'Or; 4 Garcia Lorca sens B,Station de tramway,Montpellier
Pablo Picasso,3,3 Juvignac,Station de tramway,Montpellier
